feature,coefficient
loan_to_value_ratio,11.295157770888814
loan_purpose_1,-0.49301550854127074
loan_purpose_4,0.2652093565012669
loan_purpose_2,0.20705783844263234
loan_purpose_32,0.18339734863363724
loan_amount,-0.15874469402913635
loan_type_2,0.10607563359121183
loan_purpose_31,0.06666835759237061
loan_type_3,-0.05728373429157901
loan_type_1,-0.04351837020516518
lien_status_1,-0.013305225704699974
lien_status_2,0.013305225704699974
applicant_age,0.01309204241877592
avg_hpi,-0.010060218199118558
avg_unemployment_rate,0.010060218199052048
state_code_VA,-0.010060218199026772
state_code_NC,0.010060218198978486
loan_purpose_5,0.006579196273388336
income,0.0035157570695910443
loan_type_4,0.0004040045176224778
avg_mortgage_rate,2.88085474535762e-16
